time,open,high,low,close,Fast High,Fast Low,Fast High Max,Fast Low Max,Slow High,Slow Low,Slow High Max,Slow Low Max,Lower Fast High,Lower Fast Low,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Kijun-Sen line
2025-06-13T10:15:00+02:00,23552,23557,23544,23557,23518.09522771003,23503.88888391265,NaN,NaN,23466.6277352105,23453.697273889138,NaN,NaN,23518.09522771003,23503.88888391265,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23539.5
2025-06-13T10:16:00+02:00,23557,23557,23542,23543,23519.274160203666,23505.043766218325,NaN,NaN,23467.255320382646,23454.31048726491,NaN,NaN,23519.274160203666,23505.043766218325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23540
2025-06-13T10:17:00+02:00,23541,23541,23532,23538,23519.932518985373,23505.860621787466,NaN,NaN,23467.767436213322,23454.849997770016,NaN,NaN,23519.932518985373,23505.860621787466,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23540
2025-06-13T10:18:00+02:00,23541,23542,23535,23538,23520.601230531272,23506.74363324845,NaN,NaN,23468.28294012851,23455.406595007724,NaN,NaN,23520.601230531272,23506.74363324845,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23540
2025-06-13T10:19:00+02:00,23540,23543,23540,23541,23521.279981121235,23507.75140193789,NaN,NaN,23468.801808599837,23455.99404920906,NaN,NaN,23521.279981121235,23507.75140193789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23540
2025-06-13T10:20:00+02:00,23541,23541,23523,23524,23521.877557450895,23508.213480667044,NaN,NaN,23469.303184929006,23456.459368311775,NaN,NaN,23521.877557450895,23508.213480667044,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23540
2025-06-13T10:21:00+02:00,23525,23525,23496,23498,23521.972176922078,23507.843375192286,NaN,NaN,23469.689968366998,23456.733956031832,NaN,NaN,23521.972176922078,23507.843375192286,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23532.5
2025-06-13T10:22:00+02:00,23496,23505,23493,23498,23521.4578685305,23507.393575944036,NaN,NaN,23469.935176920004,23456.98580355939,NaN,NaN,23521.4578685305,23507.393575944036,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23531
2025-06-13T10:23:00+02:00,23496,23499,23488,23499,23520.777327059877,23506.80589182452,NaN,NaN,23470.13701596917,23457.201179923562,NaN,NaN,23520.777327059877,23506.80589182452,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23528.5
2025-06-13T10:24:00+02:00,23494,23503,23488,23503,23520.238620179276,23506.236016314684,NaN,NaN,23470.36523113605,23457.415060618536,NaN,NaN,23520.238620179276,23506.236016314684,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23528.5
2025-06-13T10:25:00+02:00,23501,23501,23495,23496,23519.655631688995,23505.895530971815,NaN,NaN,23470.577972586492,23457.67606714202,NaN,NaN,23519.655631688995,23505.895530971815,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23528.5
2025-06-13T10:26:00+02:00,23498,23503,23472,23475,23519.150915577207,23504.86839366964,NaN,NaN,23470.80312555464,23457.77553889798,NaN,NaN,23519.150915577207,23504.86839366964,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23520.5
